frequency, S11, S12, S13, S21, S22, S23, S31, S32, S33
4248796928.0000000000, -100.2290008118, 52.7444134435, 52.7444134435, 52.7444134435, -10.6896904687, 45.2852348849, 52.7444134435, 45.2852300279, -10.6896928972
4249796864.0000000000, -100.3356999021, 52.6736757546, 52.6736757546, 52.6736757546, -10.8491271192, 45.2905630396, 52.6736757546, 45.2905387545, -10.8491198336
4250796800.0000000000, -100.4424087064, 52.6029429226, 52.6029477797, 52.6029429226, -11.0086827667, 45.2957940538, 52.6029429226, 45.2958086249, -11.0086827667
4251796736.0000000000, -100.5491175107, 52.5322052337, 52.5322100907, 52.5322100907, -11.1683379832, 45.3010542101, 52.5322052337, 45.3010444961, -11.1683331262
4252796672.0000000000, -100.6558263150, 52.4614869729, 52.4614869729, 52.4614821158, -11.3281085540, 45.3062075120, 52.4614869729, 45.3062075120, -11.3281073397
4253796608.0000000000, -100.7625156912, 52.3907589980, 52.3907589980, 52.3907589980, -11.4880029789, 45.3113073866, 52.3907589980, 45.3113025295, -11.4880054074
4254796544.0000000000, -100.8691759253, 52.3200455941, 52.3200455941, 52.3200504512, -11.6479654021, 45.3163732620, 52.3200504512, 45.3163684049, -11.6479763304
4255796480.0000000000, -100.9759138717, 52.2493030482, 52.2493127622, 52.2493030482, -11.8081354631, 45.3213662820, 52.2493030482, 45.3213614250, -11.8081123923
4256796416.0000000000, -101.0825546777, 52.1786139295, 52.1786139295, 52.1786139295, -11.9682751677, 45.3262961608, 52.1786139295, 45.3262913038, -11.9682727392
4257796352.0000000000, -101.1892926242, 52.1078665265, 52.1078665265, 52.1078616695, -12.1286686518, 45.3312066115, 52.1078665265, 45.3311968974, -12.1286735088
4258796288.0000000000, -101.2959917144, 52.0371482656, 52.0371482656, 52.0371482656, -12.2891082776, 45.3360247787, 52.0371531227, 45.3360150646, -12.2891289199
